eventID,Zone,QuakeProb,Mq,Slip,NumSubfaults
397,java,0.144700E-03,7.500,0.170394E+01,6
398,java,0.144700E-03,7.500,0.170394E+01,6
399,java,0.144700E-03,7.500,0.170394E+01,6
400,java,0.144700E-03,7.500,0.170394E+01,6
401,java,0.144700E-03,7.500,0.170394E+01,6
402,java,0.144700E-03,7.500,0.170394E+01,6
403,java,0.144700E-03,7.500,0.170394E+01,3
404,java,0.144700E-03,7.500,0.170394E+01,6
405,java,0.144700E-03,7.500,0.170394E+01,6
406,java,0.144700E-03,7.500,0.170394E+01,6
407,java,0.144700E-03,7.500,0.170394E+01,6
408,java,0.144700E-03,7.500,0.170394E+01,6
409,java,0.144700E-03,7.500,0.170394E+01,6
410,java,0.144700E-03,7.500,0.170394E+01,6
411,java,0.144700E-03,7.500,0.170394E+01,6
412,java,0.144700E-03,7.500,0.170394E+01,6
413,java,0.144700E-03,7.500,0.170394E+01,6
414,java,0.144700E-03,7.500,0.170394E+01,6
415,java,0.144700E-03,7.500,0.170394E+01,6
416,java,0.144700E-03,7.500,0.170394E+01,3
417,java,0.144700E-03,7.500,0.170394E+01,6
418,java,0.144700E-03,7.500,0.170394E+01,6
419,java,0.144700E-03,7.500,0.170394E+01,6
420,java,0.144700E-03,7.500,0.170394E+01,6
421,java,0.144700E-03,7.500,0.170394E+01,6
422,java,0.144700E-03,7.500,0.170394E+01,6
423,java,0.144700E-03,7.500,0.170394E+01,6
424,java,0.144700E-03,7.500,0.170394E+01,6
425,java,0.144700E-03,7.500,0.170394E+01,6
426,java,0.144700E-03,7.500,0.170394E+01,6
427,java,0.144700E-03,7.500,0.170394E+01,6
428,java,0.144700E-03,7.500,0.170394E+01,6
429,java,0.144700E-03,7.500,0.170394E+01,3
430,java,0.144700E-03,7.500,0.170394E+01,6
431,java,0.144700E-03,7.500,0.170394E+01,6
432,java,0.144700E-03,7.500,0.170394E+01,6
433,java,0.144700E-03,7.500,0.170394E+01,6
434,java,0.144700E-03,7.500,0.170394E+01,6
435,java,0.144700E-03,7.500,0.170394E+01,6
436,java,0.144700E-03,7.500,0.170394E+01,6
437,java,0.144700E-03,7.500,0.170394E+01,6
438,java,0.144700E-03,7.500,0.170394E+01,6
439,java,0.144700E-03,7.500,0.170394E+01,6
440,java,0.144700E-03,7.500,0.170394E+01,6
441,java,0.144700E-03,7.500,0.170394E+01,6
442,java,0.144700E-03,7.500,0.170394E+01,3
443,java,0.144700E-03,7.500,0.170394E+01,6
444,java,0.144700E-03,7.500,0.170394E+01,6
445,java,0.144700E-03,7.500,0.170394E+01,6
446,java,0.144700E-03,7.500,0.170394E+01,6
447,java,0.144700E-03,7.500,0.170394E+01,6
448,java,0.144700E-03,7.500,0.170394E+01,6
449,java,0.144700E-03,7.500,0.170394E+01,6
450,java,0.144700E-03,7.500,0.170394E+01,6
451,java,0.144700E-03,7.500,0.170394E+01,6
452,java,0.144700E-03,7.500,0.170394E+01,6
453,java,0.144700E-03,7.500,0.170394E+01,6
454,java,0.144700E-03,7.500,0.170394E+01,6
455,java,0.144700E-03,7.500,0.170394E+01,3
456,java,0.144700E-03,7.500,0.170394E+01,6
457,java,0.144700E-03,7.500,0.170394E+01,6
458,java,0.144700E-03,7.500,0.170394E+01,6
459,java,0.144700E-03,7.500,0.170394E+01,6
460,java,0.144700E-03,7.500,0.170394E+01,6
